order_id,customers,order_date,city,state,quantity,revenue,product_name,category_name,store_name,total_discount,Net Revenue
1,Johnathan Velazquez,1/1/2016,Pleasanton,CA,2,1199.98,Electra Townie Original 7D EQ - 2016,Cruisers Bicycles,Santa Cruz Bikes,$60,"$1,140"
1,Johnathan Velazquez,1/1/2016,Pleasanton,CA,1,599.99,Electra Townie Original 7D EQ - Women's - 2016,Cruisers Bicycles,Santa Cruz Bikes,$120,$480
1,Johnathan Velazquez,1/1/2016,Pleasanton,CA,2,3098.00,Surly Straggler - 2016,Cyclocross Bicycles,Santa Cruz Bikes,$155,"$2,943"
1,Johnathan Velazquez,1/1/2016,Pleasanton,CA,1,2899.99,Trek Fuel EX 8 29 - 2016,Mountain Bikes,Santa Cruz Bikes,$580,"$2,320"
1,Johnathan Velazquez,1/1/2016,Pleasanton,CA,2,3599.98,Trek Remedy 29 Carbon Frameset - 2016,Mountain Bikes,Santa Cruz Bikes,$252,"$3,348"
2,Jaqueline Cummings,1/1/2016,Huntington Station,NY,2,1199.98,Electra Townie Original 7D EQ - 2016,Cruisers Bicycles,Baldwin Bikes,$60,"$1,140"
2,Jaqueline Cummings,1/1/2016,Huntington Station,NY,1,599.99,Electra Townie Original 7D EQ - Women's - 2016,Cruisers Bicycles,Baldwin Bikes,$42,$558
3,Joshua Robertson,1/2/2016,Patchogue,NY,1,599.99,Electra Townie Original 7D EQ - Women's - 2016,Cruisers Bicycles,Baldwin Bikes,$30,$570
3,Joshua Robertson,1/2/2016,Patchogue,NY,1,999.99,Surly Wednesday Frameset - 2016,Mountain Bikes,Baldwin Bikes,$50,$950
4,Nova Hess,1/3/2016,Duarte,CA,2,1499.98,Ritchey Timberwolf Frameset - 2016,Mountain Bikes,Santa Cruz Bikes,$150,"$1,350"
5,Arla Ellis,1/3/2016,Utica,NY,1,599.99,Electra Townie Original 7D EQ - 2016,Comfort Bicycles,Baldwin Bikes,$42,$558
5,Arla Ellis,1/3/2016,Utica,NY,1,429.00,Pure Cycles Vine 8-Speed - 2016,Cruisers Bicycles,Baldwin Bikes,$30,$399
5,Arla Ellis,1/3/2016,Utica,NY,2,3098.00,Surly Straggler - 2016,Cyclocross Bicycles,Baldwin Bikes,$155,"$2,943"
6,Sharyn Hopkins,1/4/2016,Baldwinsville,NY,2,1099.98,Electra Townie Original 21D - 2016,Cruisers Bicycles,Baldwin Bikes,$55,"$1,045"
6,Sharyn Hopkins,1/4/2016,Baldwinsville,NY,1,599.99,Electra Townie Original 7D EQ - Women's - 2016,Cruisers Bicycles,Baldwin Bikes,$60,$540
6,Sharyn Hopkins,1/4/2016,Baldwinsville,NY,1,449.00,Pure Cycles Western 3-Speed - Women's - 2015/2016,Cruisers Bicycles,Baldwin Bikes,$31,$418
6,Sharyn Hopkins,1/4/2016,Baldwinsville,NY,2,1999.98,Surly Wednesday Frameset - 2016,Mountain Bikes,Baldwin Bikes,$140,"$1,860"
6,Sharyn Hopkins,1/4/2016,Baldwinsville,NY,2,5999.98,Trek Conduit+ - 2016,Electric Bikes,Baldwin Bikes,$420,"$5,580"
7,Laureen Paul,1/4/2016,Bellmore,NY,1,529.99,Electra Moto 1 - 2016,Cruisers Bicycles,Baldwin Bikes,$37,$493
7,Laureen Paul,1/4/2016,Bellmore,NY,2,858.00,Pure Cycles Vine 8-Speed - 2016,Cruisers Bicycles,Baldwin Bikes,$86,$772
7,Laureen Paul,1/4/2016,Bellmore,NY,1,999.99,Surly Wednesday Frameset - 2016,Mountain Bikes,Baldwin Bikes,$100,$900
8,Leslie Higgins,1/4/2016,Saratoga Springs,NY,1,269.99,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,Children Bicycles,Baldwin Bikes,$13,$256
8,Leslie Higgins,1/4/2016,Saratoga Springs,NY,2,1199.98,Electra Townie Original 7D EQ - Women's - 2016,Cruisers Bicycles,Baldwin Bikes,$84,"$1,116"
9,Neil Mccall,1/5/2016,San Carlos,CA,2,7999.98,Trek Slash 8 27.5 - 2016,Mountain Bikes,Santa Cruz Bikes,$800,"$7,200"
10,Alane Munoz,1/5/2016,Yonkers,NY,1,269.99,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,Cruisers Bicycles,Baldwin Bikes,$27,$243
11,Tarra Guerrero,1/5/2016,Auburn,NY,2,539.98,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,Children Bicycles,Baldwin Bikes,$54,$486
11,Tarra Guerrero,1/5/2016,Auburn,NY,2,1199.98,Electra Townie Original 7D EQ - 2016,Cruisers Bicycles,Baldwin Bikes,$240,$960
11,Tarra Guerrero,1/5/2016,Auburn,NY,1,1799.99,Trek Remedy 29 Carbon Frameset - 2016,Mountain Bikes,Baldwin Bikes,$90,"$1,710"
12,Marvin Mullins,1/6/2016,San Diego,CA,1,1680.99,Surly Straggler 650b - 2016,Cyclocross Bicycles,Santa Cruz Bikes,$84,"$1,597"
12,Marvin Mullins,1/6/2016,San Diego,CA,2,5799.98,Trek Fuel EX 8 29 - 2016,Mountain Bikes,Santa Cruz Bikes,$580,"$5,220"
13,Patience Clayton,1/8/2016,Niagara Falls,NY,1,269.99,Electra Cruiser 1 (24-Inch) - 2016,Cruisers Bicycles,Baldwin Bikes,$27,$243
13,Patience Clayton,1/8/2016,Niagara Falls,NY,2,1199.98,Electra Townie Original 7D EQ - 2016,Cruisers Bicycles,Baldwin Bikes,$60,"$1,140"
13,Patience Clayton,1/8/2016,Niagara Falls,NY,2,1199.98,Electra Townie Original 7D EQ - Women's - 2016,Cruisers Bicycles,Baldwin Bikes,$120,"$1,080"
13,Patience Clayton,1/8/2016,Niagara Falls,NY,2,858.00,Pure Cycles Vine 8-Speed - 2016,Cruisers Bicycles,Baldwin Bikes,$43,$815
14,Maribel William,1/9/2016,Torrance,CA,1,469.99,Surly Ice Cream Truck Frameset - 2016,Mountain Bikes,Santa Cruz Bikes,$33,$437
15,Ellsworth Michael,1/9/2016,Carmel,NY,2,599.98,Electra Girl's Hawaii 1 (20-inch) - 2015/2016,Children Bicycles,Baldwin Bikes,$120,$480
15,Ellsworth Michael,1/9/2016,Carmel,NY,2,1099.98,Electra Townie Original 21D - 2016,Cruisers Bicycles,Baldwin Bikes,$77,"$1,023"
15,Ellsworth Michael,1/9/2016,Carmel,NY,2,898.00,Pure Cycles Western 3-Speed - Women's - 2015/2016,Cruisers Bicycles,Baldwin Bikes,$45,$853
15,Ellsworth Michael,1/9/2016,Carmel,NY,1,1799.99,Trek Remedy 29 Carbon Frameset - 2016,Mountain Bikes,Baldwin Bikes,$126,"$1,674"
16,Lea Key,1/12/2016,Banning,CA,1,269.99,Electra Cruiser 1 (24-Inch) - 2016,Children Bicycles,Santa Cruz Bikes,$13,$256
16,Lea Key,1/12/2016,Banning,CA,2,539.98,Electra Cruiser 1 (24-Inch) - 2016,Cruisers Bicycles,Santa Cruz Bikes,$38,$502
16,Lea Key,1/12/2016,Banning,CA,1,269.99,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,Cruisers Bicycles,Santa Cruz Bikes,$19,$251
16,Lea Key,1/12/2016,Banning,CA,1,1799.99,Trek Remedy 29 Carbon Frameset - 2016,Mountain Bikes,Santa Cruz Bikes,$360,"$1,440"
17,Sindy Anderson,1/12/2016,Pomona,CA,1,299.99,Electra Girl's Hawaii 1 (20-inch) - 2015/2016,Children Bicycles,Santa Cruz Bikes,$30,$270
17,Sindy Anderson,1/12/2016,Pomona,CA,2,1199.98,Electra Townie Original 7D EQ - Women's - 2016,Cruisers Bicycles,Santa Cruz Bikes,$240,$960
17,Sindy Anderson,1/12/2016,Pomona,CA,1,1320.99,Heller Shagamaw Frame - 2016,Mountain Bikes,Santa Cruz Bikes,$132,"$1,189"
17,Sindy Anderson,1/12/2016,Pomona,CA,1,1799.99,Trek Remedy 29 Carbon Frameset - 2016,Mountain Bikes,Santa Cruz Bikes,$126,"$1,674"
18,Lanita Burton,1/14/2016,Coachella,CA,1,269.99,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,Children Bicycles,Santa Cruz Bikes,$13,$256
18,Lanita Burton,1/14/2016,Coachella,CA,2,999.98,Electra Townie Original 7D - 2015/2016,Comfort Bicycles,Santa Cruz Bikes,$50,$950
18,Lanita Burton,1/14/2016,Coachella,CA,2,1499.98,Ritchey Timberwolf Frameset - 2016,Mountain Bikes,Santa Cruz Bikes,$300,"$1,200"
18,Lanita Burton,1/14/2016,Coachella,CA,2,5999.98,Trek Conduit+ - 2016,Electric Bikes,Santa Cruz Bikes,$600,"$5,400"
18,Lanita Burton,1/14/2016,Coachella,CA,1,3999.99,Trek Slash 8 27.5 - 2016,Mountain Bikes,Santa Cruz Bikes,$400,"$3,600"
19,Norine Huffman,1/14/2016,Encino,CA,1,1549.00,Surly Straggler - 2016,Cyclocross Bicycles,Santa Cruz Bikes,$108,"$1,441"
19,Norine Huffman,1/14/2016,Encino,CA,2,5999.98,Trek Conduit+ - 2016,Electric Bikes,Santa Cruz Bikes,"$1,200","$4,800"
20,Randee Pitts,1/14/2016,Canyon Country,CA,2,3098.00,Surly Straggler - 2016,Cyclocross Bicycles,Santa Cruz Bikes,$217,"$2,881"
20,Randee Pitts,1/14/2016,Canyon Country,CA,1,2999.99,Trek Conduit+ - 2016,Electric Bikes,Santa Cruz Bikes,$210,"$2,790"
21,Neoma Daugherty,1/15/2016,Mount Vernon,NY,1,269.99,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,Cruisers Bicycles,Baldwin Bikes,$13,$256
21,Neoma Daugherty,1/15/2016,Mount Vernon,NY,1,429.00,Pure Cycles Vine 8-Speed - 2016,Cruisers Bicycles,Baldwin Bikes,$43,$386
21,Neoma Daugherty,1/15/2016,Mount Vernon,NY,1,1549.00,Surly Straggler - 2016,Cyclocross Bicycles,Baldwin Bikes,$108,"$1,441"
22,Tangela Hurley,1/16/2016,Campbell,CA,1,269.99,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,Children Bicycles,Santa Cruz Bikes,$13,$256
22,Tangela Hurley,1/16/2016,Campbell,CA,2,1059.98,Electra Moto 1 - 2016,Cruisers Bicycles,Santa Cruz Bikes,$212,$848
23,Drucilla Gilliam,1/16/2016,Santa Clara,CA,1,269.99,Electra Cruiser 1 (24-Inch) - 2016,Cruisers Bicycles,Santa Cruz Bikes,$54,$216
23,Drucilla Gilliam,1/16/2016,Santa Clara,CA,2,599.98,Electra Girl's Hawaii 1 (20-inch) - 2015/2016,Children Bicycles,Santa Cruz Bikes,$60,$540
